        Frequency / GHz                Rad. Efficiency [1]/abs,dB
               42.090909                    -0.068907491
               42.127517                    -0.070718661
               42.191919                    -0.074776922
               42.194631                    -0.074942418
               42.261745                    -0.079204978
               42.292929                    -0.080755821
               42.328859                    -0.081987906
               42.393939                    -0.081930441
               42.395973                    -0.081873867
               42.463087                    -0.077880278
               42.494949                    -0.074464811
               42.530201                    -0.069579123
                42.59596                    -0.057729069
               42.597315                    -0.057451625
                42.66443                    -0.043064179
                42.69697                    -0.035991535
               42.731544                    -0.028936314
                42.79798                    -0.018520557
               42.798658                    -0.018427898
               42.865772                    -0.015047448
                42.89899                    -0.016795145
               42.932886                    -0.021423276
                      43                    -0.038666952

        Frequency / GHz                Tot. Efficiency [1]/abs,dB
----------------------------------------------------------------------
                      33                      -9.7081659
               33.067114                      -9.5317829
                33.10101                       -9.468775
               33.134228                      -9.4228379
               33.201342                      -9.3693322
                33.20202                      -9.3690179
               33.268456                      -9.3489088
                33.30303                      -9.3416037
                33.33557                      -9.3313193
               33.402685                      -9.2832633
                33.40404                      -9.2817722
               33.469799                      -9.1758012
               33.505051                      -9.0893436
               33.536913                       -8.992337
               33.604027                      -8.7331719
               33.606061                       -8.724277
               33.671141                      -8.4147417
               33.707071                      -8.2288506
               33.738255                      -8.0631426
               33.805369                      -7.7059077
               33.808081                      -7.6916886
               33.872483                      -7.3657534
               33.909091                      -7.1929794
               33.939597                      -7.0571904
               34.006711                      -6.7853462
               34.010101                      -6.7725169
               34.073826                      -6.5459116
               34.111111                      -6.4225513
                34.14094                      -6.3262997
               34.208054                       -6.107386
               34.212121                      -6.0936442
               34.275168                      -5.8663993
               34.313131                      -5.7118425
               34.342282                      -5.5815016
               34.409396                      -5.2370813
               34.414141                      -5.2102891
                34.47651                      -4.8280455
               34.515152                      -4.5654061
               34.543624                      -4.3611578
               34.610738                      -3.8531106
               34.616162                      -3.8109304
               34.677852                      -3.3261386
               34.717172                      -3.0179329
               34.744966                      -2.8033369
               34.812081                      -2.3054483
               34.818182                      -2.2620356
               34.879195                      -1.8492695
               34.919192                       -1.602564
               34.946309                      -1.4473354
               35.013423                      -1.1083093
               35.020202                      -1.0777919
               35.080537                     -0.83774585
               35.121212                     -0.70849345
               35.147651                     -0.63876471
               35.214765                     -0.51254568
               35.222222                     -0.50300918
               35.281879                     -0.45876865
               35.323232                     -0.46106281
               35.348993                     -0.47583752
               35.416107                     -0.56095604
               35.424242                      -0.5757173
               35.483221                     -0.71009379
               35.525253                     -0.83376903
               35.550336                     -0.91789644
                35.61745                      -1.1775023
               35.626263                      -1.2150087
               35.684564                      -1.4803645
               35.727273                      -1.6909694
               35.751678                       -1.816165
               35.818792                      -2.1728786
               35.828283                      -2.2242527
               35.885906                      -2.5371525
               35.929293                      -2.7701326
                35.95302                      -2.8950858
               36.020134                      -3.2334026
               36.030303                      -3.2822087
               36.087248                      -3.5408732
               36.131313                       -3.722051
               36.154362                      -3.8097003
               36.221477                      -4.0363223
               36.232323                      -4.0689754
               36.288591                      -4.2214243
               36.333333                      -4.3236858
               36.355705                      -4.3691132
               36.422819                      -4.4855195
               36.434343                      -4.5028446
               36.489933                      -4.5772307
               36.535354                      -4.6282511
               36.557047                      -4.6500005
               36.624161                      -4.7080309
               36.636364                      -4.7172064
               36.691275                      -4.7536131
               36.737374                      -4.7780475
